u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,subclass,redshift,redshift_err
20.84262,20.1034,19.58965,19.35887,19.04977,4.597819,9.090663,14.59189,18.04716,23.97061,2.544486,1.586655,1.302178,1.449397,3.923175,4.9724,8.385068,17.65393,14.86423,25.5692,0.8428669,0.791176,0.6370025,0.7138287,0.7391634,20.91404,19.68346,20.16492,19.49746,19.16715,0.05,0.9999239,0.9998984,0.9997418,0.9998032,STARBURST,0.2491362,8.6e-06
19.32499,17.98579,17.32878,16.97005,16.72728,18.62,63.92656,117.0808,162.9224,203.7433,4.411557,4.375379,4.382668,4.435736,4.636517,18.34702,62.03198,159.5912,116.0754,198.8955,2.158329,2.16597,2.135826,2.164504,2.194584,20.85758,19.04507,19.50455,18.62543,18.20098,0.8168944,0.808926,0.8294645,0.8345723,0.8056723,STARFORMING,0.04618927,1.59e-05
20.14565,18.47789,17.571,17.07108,16.8181,8.742394,40.62947,93.66942,148.4463,187.3924,2.970283,6.410075,5.492241,5.871801,4.567472,9.326296,36.28902,106.8935,71.5691,136.8509,3.673464,2.979499,2.363781,2.539521,2.412578,21.83034,19.73911,20.63963,19.17272,18.823,0.1020619,0.3659109,0.3732002,0.4055071,0.4269188,STARFORMING,0.1855479,1.89e-05
19.43511,18.21046,17.71781,17.46296,17.28559,16.82388,51.97755,81.82313,103.4699,121.8282,3.917478,4.257429,4.547504,4.555706,5.027781,14.68979,48.83906,94.14091,78.94509,120.4761,2.106125,2.238473,2.189576,2.333501,2.397763,21.40175,19.80864,20.33097,19.59073,19.33015,0.7319706,0.8894328,0.8801417,0.9047873,0.8903269,STARFORMING,0.1231045,1.28e-05
20.41864,18.67497,17.67722,17.16472,16.78192,6.797657,33.88499,84.94001,136.1789,193.7423,2.629475,4.065302,3.199691,3.777461,3.209373,6.658706,36.83061,130.3835,83.10828,182.0341,1.397645,1.71135,1.429974,1.610159,1.338468,21.5199,18.56739,19.7326,18.14523,17.94823,0.3306925,0.5095057,0.4945021,0.5053954,0.5078765,STARFORMING,0.1281228,2.39e-05
19.20375,18.14371,17.77651,17.52969,17.38475,20.81991,55.27339,77.51675,97.30189,111.1939,3.973201,3.902665,4.01846,4.117926,3.687,20.74739,52.75758,96.7095,75.98423,96.44206,1.905201,1.932141,1.977472,1.995949,1.796461,20.38255,19.21743,19.51904,19.13486,18.8667,0.7661138,0.7528675,0.7406988,0.7495359,0.8045363,STARBURST,0.06918498,6.22e-06
19.59831,17.86302,17.05408,16.63688,16.34635,14.4756,71.5798,150.7882,221.4367,289.3724,3.736899,3.478903,3.41184,3.465286,3.317473,14.52608,66.12474,199.2675,139.0532,257.688,1.808349,1.564424,1.52633,1.554437,1.492056,20.58339,18.04029,18.86623,17.58724,17.21923,0.5163393,0.5815583,0.5661711,0.585064,0.5857549,STARFORMING,0.0718936,1.62e-05
19.13428,18.18126,17.5618,17.07688,16.93437,22.19581,53.39405,94.46697,147.6543,168.362,3.444101,3.324198,3.117694,3.189453,2.908129,20.84122,49.21946,132.9967,88.64211,147.7505,1.666254,1.529248,1.428967,1.471748,1.359423,19.88491,18.44395,18.98548,17.92921,17.84087,0.8206245,0.9275225,0.9224725,0.9190218,0.9732212,STARBURST,0.1424255,7.52e-06
22.75297,21.84307,21.20629,21.0646,20.83879,0.7674153,1.826936,3.287814,3.742486,4.499753,2.47649,1.696135,3.885457,1.575583,1.834405,1.089483,1.428952,4.435412,2.800869,4.064904,1.275694,0.7742854,0.8515441,0.7567835,0.7905897,22.75197,21.34092,21.92872,21.22733,20.93247,0.05,0.08629811,0.5099258,0.4777379,0.06893099,STARBURST,0.3980714,1.67e-05
20.92848,19.62749,18.63858,18.12346,17.83853,4.247529,14.09251,35.03985,56.3133,73.20523,2.970164,4.157313,3.678439,3.683866,4.172758,6.972562,14.74491,55.36292,35.37667,71.21938,2.53342,1.952489,1.803456,1.827802,1.872048,22.65471,20.34022,21.19231,19.78695,19.26111,0.5160645,0.7422709,0.774211,0.7183945,0.7562972,STARFORMING,0.1953044,1.66e-05
