u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,redshift,redshift_err
19.5392,18.49463,17.80479,17.44611,17.24578,15.28563,40.00774,75.52381,105.0888,126.378,10.28684,4.13903,3.912506,4.043935,3.731886,20.83054,43.77699,97.99884,72.87505,113.7434,2.519339,2.12907,1.871385,1.957785,1.834632,21.30162,19.51781,20.24937,19.14744,18.82794,0.7620372,0.9115137,0.9521044,0.9686089,0.860584,0.1466555,1.01e-05
20.04008,18.63083,17.9405,17.52629,17.2497,9.635576,35.29115,66.64987,97.60743,125.9225,3.842217,4.344333,3.879215,4.019854,3.650476,8.562967,36.6706,92.31666,66.7772,110.3535,1.777862,2.020135,1.75671,1.873613,1.595604,21.38237,19.34046,20.02224,18.88761,18.63392,0.2770094,0.342071,0.3555109,0.3331485,0.3731328,0.0633958,1.32e-05
18.88969,17.45173,16.67817,16.19766,15.88523,27.8043,104.5459,213.1733,331.8449,442.4917,12.56536,6.008793,5.553375,5.798949,5.273864,37.13581,116.6802,347.0632,231.953,433.4201,3.538364,2.757444,2.547063,2.652567,2.376085,20.58086,18.30438,19.13179,17.74829,17.39477,0.2817521,0.3405206,0.362044,0.340654,0.3450062,0.07605755,6.42e-06
20.05519,19.39178,18.70634,18.31313,18.11321,9.502275,17.50965,32.91989,47.28717,56.83823,2.235963,3.334718,2.92461,2.980609,4.056981,5.518786,14.21855,39.80104,29.11759,56.31037,1.067754,1.530508,1.388655,1.419163,1.884464,20.49671,19.50001,19.92417,19.05531,18.77191,0.05,0.5870024,0.6211628,0.5788347,0.685937,0.2313723,1.26e-05
18.1307,16.77617,16.11394,15.69656,15.39237,55.9393,194.7738,358.4451,526.4733,696.7085,8.474761,8.920104,8.869413,9.642589,10.30373,39.15433,149.7053,381.563,268.0002,490.4457,3.428566,3.835398,3.568809,3.779131,3.54423,20.32017,18.40761,19.12746,18.02605,17.6845,0.3851114,0.3456749,0.3517704,0.3718692,0.3784568,0.07139626,7.31e-06
18.8117,17.51205,16.99132,16.65732,16.51815,29.87522,98.89599,159.761,217.3052,247.0226,7.697907,8.638127,8.122645,8.621894,8.166631,30.46296,99.94635,205.8192,152.8832,216.5643,3.962754,4.061966,3.782614,3.82381,3.498624,21.63552,19.95745,20.54552,19.61151,19.31552,0.8533513,0.9500162,0.9168962,0.9228417,0.8988352,0.08491614,1.22e-05
18.141,17.0774,16.74639,16.52445,16.41261,55.41109,147.5844,200.1902,245.5949,272.2403,9.494399,9.320153,8.715993,9.674371,8.105609,44.30842,103.1795,145.5211,124.9527,112.7954,4.600895,4.45295,3.720041,3.978846,2.431999,21.12542,19.59511,20.00099,19.44977,19.27202,0.718556,0.6279778,0.6987675,0.7194142,0.7405395,0.06098724,7.53e-06
18.36115,17.10126,16.58227,16.24425,16.02739,45.2413,144.377,232.8579,317.908,388.1892,9.132524,9.854713,9.983414,10.19852,9.911307,37.13276,136.1886,297.6333,219.1409,341.6243,3.911234,4.560284,4.504565,4.537314,4.30704,21.07465,19.46456,19.98391,19.13091,18.81625,0.4499712,0.4673362,0.4780177,0.4882844,0.4999987,0.03727411,9.54e-06
19.34259,18.08965,17.65359,17.01101,16.80178,18.32063,58.09503,86.8083,156.8905,190.2302,4.926699,5.244319,4.71602,5.029068,4.777988,19.0568,56.47467,143.624,79.46736,165.9365,2.717588,2.479891,2.261726,2.326656,2.197974,21.23194,19.61112,20.01233,18.9283,18.7904,0.3555631,0.4498174,0.4412109,0.4552797,0.4378554,0.105657,7.43e-06
19.82405,18.48359,17.78098,17.4023,17.17443,11.75754,40.4166,77.19785,109.4151,134.9627,4.583364,4.365763,4.363952,4.365982,4.057268,13.56469,39.63571,105.6323,73.29167,127.1352,2.278045,2.166634,2.063833,2.05586,2.003862,21.65676,19.66094,20.31677,19.38446,19.12945,0.999868,0.707947,0.7238741,0.7595012,0.7171972,0.1450156,1.37e-05
16.34656,14.78115,14.00688,13.59121,13.27808,289.3189,1223.324,2496.013,3660.296,4883.926,30.68063,24.34734,23.31454,22.49497,18.78106,324.9445,1082.98,2943.811,2014.333,3426.58,13.28829,10.67439,9.97396,9.868749,8.560305,19.89774,17.63882,18.26106,17.25244,16.71323,0.3419151,0.3330784,0.3127424,0.3286234,0.3515072,0.02723799,1.05e-05
18.51124,16.95066,16.16463,15.69028,15.37136,39.4002,165.8577,342.0947,529.5286,710.3235,10.26383,9.003425,8.042904,8.322579,7.702932,47.8913,169.759,504.3319,329.2634,656.2323,4.540719,4.064555,3.643812,3.699623,3.487554,21.47787,19.00994,19.82521,18.40171,18.00538,0.3141323,0.293629,0.3219883,0.3140446,0.3192737,0.06601377,1.2e-05
19.7512,17.79109,16.88688,16.46409,16.1108,12.57377,76.4826,175.893,259.6358,359.4833,6.403985,4.822882,4.655316,4.876941,4.751921,13.29673,65.85734,211.0374,148.9129,294.2604,2.933123,2.31738,2.150875,2.246101,2.185021,21.191,18.47235,19.29856,18.04198,17.66725,0.5279502,0.7814263,0.8199465,0.7943982,0.8222915,0.08190541,1.9e-05
